item,context,effect_type,effect,generation_start,generation_end,notes
pumkin-berry,field,status-healing,Cures freeze when used from the Bag,3,3,
pumkin-berry,held,status-healing,Cures freeze when held and consumed,3,3,
punching-glove,held,type-boost,Boosts punching move power by 10% and prevents contact effects.,9,,Stacks with Iron Fist.
pungent-root,passive,crafting,Used as an ingredient when cooking curry.,8,,
pure-incense,field,encounter-rate,Lowers wild Pokémon encounter rate by one third when held by the lead Pokémon.,4,,
pure-incense,held,breeding,Allows Chimecho to produce Chingling Eggs.,4,,
purple-nectar,field,evolution-trigger,Changes Oricorio to Sensu Style,7,,Consumed after use and cannot be used in battle
purple-petal,passive,story,"When all seven petals are collected, Mina combines them to create a Rainbow Flower.",7,,
pyroarite,battle,evolution-trigger,Allows Pyroar to Mega Evolve into Mega Pyroar,9,,Requires the Trainer to have a Key Stone
qualot-berry,field,friendship,"+friendship, -10 Defense EVs",3,,
question-marks,battle,passive,"If a battle starts while facing a surfable tile, the player is treated as surfing, altering music and allowing glitch effects.",1,1,Can cause incorrect sound effects and allow passing through barriers after battle.
question-marks,field,field-move,"Allows surfing over water without Pokémon or Badges, including Cycling Road.",1,1,
quick-ball,battle,catch-rate-boost,Higher catch rate on first turn of a wild encounter,4,,"Modifier is 4× in Gen IV, 5× from Gen V onward; special cases apply."
quick-ball,held,fling-failure,Fling fails,4,,
quick-candy,field,stat-boost,Increases Speed by 1 AV up to a maximum of 50 AVs.,7,,
quick-candy-l,field,stat-boost,"Increases Speed by 1 AV when used on a Pokémon level 30 or higher, up to 100 AVs.",7,,
quick-candy-xl,field,stat-boost,"Raises Speed by 1 AV for Pokémon level 60 or higher, up to 200 Speed AVs.",7,,
quick-claw,held,turn-order,Gives the holder a chance to move first in its priority bracket,2,,~23% in Gen II; 20% from Gen III onward
quick-powder,held,stat-boost,Doubles Speed when held by Ditto,4,,No effect if Ditto is transformed.
quiet-mint,field,nature-change,"Changes a Pokémon’s nature effects to Quiet (+Special Attack, −Speed).",8,,
rabuta-berry,battle,natural-gift,"Ghost-type, 70 power in Generations IV–V; 90 power in Generation VI onward",4,,
radiant-petal,field,crafting,Used with White Mane Hair or Black Mane Hair to create the Reins of Unity.,8,,
rage-candy-bar,field,status-cure,Cures all non-volatile status conditions and confusion,7,,
rage-candy-bar,field,healing,Restores 20 HP,2,6,
raichunite-x,battle,evolution-trigger,Allows Kantonian Raichu to Mega Evolve into Mega Raichu X.,9,,Requires the Trainer to possess a Key Stone. Only one Mega Evolution may occur per battle.
raichunite-y,battle,evolution-trigger,Allows Kantonian Raichu to Mega Evolve into Mega Raichu Y if the Trainer has a Key Stone.,9,,
raikou-treat,field,encounter-trigger,Allows the player to encounter and battle Raikou at West Province (Area One).,9,,Showing the treat to Snacksworth provides a hint to Raikou's location.
rainbow-feather,field,story,Allows access to Bell Tower and the encounter with Ho-Oh.,2,,
rainbow-flower,field,story,"Starts the final part of Mina's trial, triggering a battle with Totem Ribombee.",7,,
rainbow-pass,field,access-unlock,"Allows travel via Seagallop ferries between Vermilion City and the Sevii Islands, unlocking Four through Seven Island when combined with the Tri-Pass.",3,3,Required to use AuroraTicket and MysticTicket destinations.
rainbow-slate,field,event-trigger,Allows entry to the Rainbow Room in Ramanas Park to battle Ho-Oh.,8,,
rare-bone,passive,sell-only,No effect other than being sold for money,4,,
rare-candy,field,level-boost,Raises level by 1,1,,
rash-mint,field,stat-modifier,Changes the Pokémon’s Nature effect to Rash,8,,
rawst-berry,field,status-healing,Cures burn when used from the Bag,3,,
rawst-berry,held,status-healing,Cures burn,3,,
rayquaza-treat,field,story-trigger,Allows the player to encounter and battle Rayquaza at the Great Crater of Paldea; showing it to Snacksworth provides a hint to Rayquaza's location.,9,,
razor-claw,battle,stat-boost,Raises critical hit ratio by one stage,4,,
razor-claw,held,evolution-trigger,Triggers evolution for Sneasel forms when leveled up under time-of-day conditions,4,,
razor-fang,battle,status,10% chance to cause flinching on eligible moves,4,,
razor-fang,field,evolution-trigger,Evolves Gligar into Gliscor,4,,
razz-berry,field,catch-rate-boost,Makes wild Pokémon easier to catch,7,,"Applies to Let's Go, Pikachu!/Eevee! and Pokémon Legends: Arceus."
razz-berry,field,healing,Restores 1/3 of max HP,8,8,Pokémon Legends: Arceus only.
reaper-cloth,held,evolution-trigger,Allows Dusclops to evolve into Dusknoir,4,,Consumed on evolution
red-apricorn,field,stat-boost,Produces Aprijuice that boosts Power Performance.,4,,
red-apricorn,field,crafting,Can be turned into a Level Ball by Kurt.,2,,
red-bell-pepper,field,ingredient,Used as an ingredient when making sandwiches.,9,,
red-canari-plush-lv-1,passive,experience-boost,+5% Exp. Points,9,,
red-canari-plush-lv-2,passive,experience-boost,+10% Exp. Points,9,,
red-canari-plush-lv-3,passive,experience-boost,+15% Exp. Points,9,,
red-card,held,forced-switch,Forces the attacker to switch out when the holder is hit by a damaging move.,5,,
red-dish,passive,decoration,Decorates the player's picnic.,9,,
red-flag-pick,field,passive,Used to complete a sandwich during a picnic.,9,,
red-flute,battle,status-healing,Cures infatuation.,6,6,Omega Ruby and Alpha Sapphire only.
red-flute,battle,status-healing,Cures infatuation.,3,4,
red-nectar,field,form-change,Changes Oricorio to Baile Style,7,,Can only be used outside of battle; consumed after use.
red-onion,field,crafting,Used as an ingredient when making sandwiches.,9,,
red-orb,held,evolution-trigger,Allows Groudon to undergo Primal Reversion upon entering battle.,6,,Only functions when held by Groudon; unaffected by item-negating effects.
red-petal,passive,story,"When all seven petals are collected, Mina combines them into a Rainbow Flower.",7,,
red-poke-ball-pick,field,passive,Used to complete a sandwich during a picnic.,9,,
red-scale,field,exchange,Can be exchanged with Mr. Pokémon for an Exp. Share.,2,,
red-scarf,held,stat-boost,Raises Coolness in Pokémon Contests,3,,
red-shard,passive,exchange,"Used as currency for move tutors, item exchanges, or crafting.",3,,
reins-of-unity,field,evolution-trigger,Fuses or separates Calyrex with Glastrier or Spectrier,8,,
relaxed-mint,field,stat-modifier,"Changes nature effect to Relaxed (Defense up, Speed down)",8,,
relic-band,passive,none,No effect other than being sold for money.,5,,
relic-copper,passive,sell-only,Can only be sold for money,5,,
relic-crown,passive,none,Can only be sold for money,5,,
relic-gold,passive,sell-only,No effect other than being sold for money,5,,
relic-silver,passive,sell-only,Has no practical use other than being sold for money.,5,,
relic-statue,passive,sell-only,Can be sold for a high price,5,,
relic-vase,passive,sell-only,Can only be sold for money,5,,
remedy,field,healing,Restores 60 HP and lowers friendship,8,,
repeat-ball,battle,capture-rate-modifier,3× if species previously caught (Gen III–VI),3,6,
repeat-ball,battle,capture-rate-modifier,3.5× if species previously caught (Gen VII onward),7,,Ultra Beasts instead use a fixed ~0.1× modifier
repeat-ball,held,fling,Fling fails,4,,
repel,field,encounter-prevention,Prevents encounters with lower-level wild Pokémon for 100 steps.,1,,
reply-mail,held,passive,Allows the holder to carry a written message that can be traded to other games of the same generation; prevents certain item-removal or exchange moves from succeeding.,5,5,
reset-urge,battle,stat-reset,Eliminates all stat changes,5,,
reshiram-treat,field,story,Allows the player to encounter and battle Reshiram at East Province (Area One) and receive a location hint from Snacksworth.,9,,
resist-wing,field,stat-boost,+1 Defense EV and small friendship increase,5,,Consumed on use; cannot be used in battle.
resist-mochi,field,stat-boost,Increases Defense EVs by 10,9,,
retro-mail,held,passive,Allows the player to write and store a message using the Easy Chat system while held by a Pokémon.,3,3,Message can be traded to other Generation III games.
reveal-glass,field,form-change,"Switches Tornadus, Thundurus, Landorus, or Enamorus between Incarnate and Therian Formes",5,,
revitalizing-twig,field,healing,"Heals the wild Fennekin during Side Mission 008: Get Well, Fennekin.",9,,
revival-herb,field,revival,Revives a fainted Pokémon and restores HP; lowers friendship,2,,
revive,field,healing,Revives a fainted Pokémon and restores 50% of its maximum HP,1,,Can be used on Shedinja.
ribbon-sweet,held,evolution-trigger,Evolves Milcery into Alcremie when the player spins,8,,Item is consumed on use
rice,field,crafting,Used as an ingredient when making sandwiches.,9,,
rich-mulch,field,no-effect,Has no practical effect other than being sold.,6,,From Omega Ruby and Alpha Sapphire onward.
rich-mulch,field,berry-yield-boost,Increases the final Berry harvest by 2 Berries when applied to a Berry patch.,6,6,Applies only in Pokémon X and Y.
rindo-berry,held,type-resistance,Halves damage from a supereffective Grass-type move; quarter damage if holder has Ripen,4,,
ring-target,held,type-immunity-removal,Removes the holder’s type-based immunities to attacking moves.,5,,
rock-gem,battle,fling-restriction,Fling fails if the user is holding this item,5,,
rock-gem,held,type-boost,Boosts the first Rock-type move by 30% and is consumed,6,,
rock-gem,held,type-boost,Boosts the first Rock-type move by 50% and is consumed,5,5,
rock-incense,battle,type-boost,Boosts Rock-type moves by 20%,4,,Effect is identical to Hard Stone.
rock-incense,field,breeding,Produces a Bonsly Egg when breeding Sudowoodo,4,8,
rock-memory,battle,type-change,Changes Multi-Attack to Rock type and makes Silvally Rock type.,7,,
rock-memory,field,type-change,Changes Silvally to its Rock-type form.,7,,
rock-memory,held,passive,Prevents removal or swapping by item-manipulating moves.,7,,
rock-tera-shard,field,tera-type-change,50 shards change a Pokémon’s Tera Type to Rock,9,,Performed at the Treasure Eatery in Medali
rockium-z--held,held,form-change,Changes Arceus to its Rock-type form via Multitype.,7,,
rockium-z--held,held,type-boost,Upgrades Rock-type damaging moves to the Z-Move Continental Crush; Rock-type status moves become Z-Moves.,7,,
rocky-helmet,held,damage,Damages attacker for 1/6 of its maximum HP on contact.,5,,
roller-skates,field,movement,Allows faster movement than running and enables skating tricks using the Circle Pad.,6,,
room-service,held,stat-drop,Lowers the holder's Speed by one stage when Trick Room takes effect or when switching in during Trick Room.,8,,Consumed upon activation.
root-fossil,field,evolution-trigger,Regenerates into Lileep,3,,
rose-incense,battle,type-boost,Boosts Grass-type move power by 20%,4,,
rose-incense,held,breeding,Causes Budew Eggs instead of Roselia Eggs when held by a parent,4,,
roseli-berry,held,type-resist,Halves damage from one supereffective Fairy-type attack,6,,"With Ripen, damage is quartered"
roto-stick,field,passive,Increases the available selfie options when taking photos with the Rotom Phone.,9,,
rotom-bike,field,movement,"Increases travel speed, allows turbo boosting, and enables riding on water after upgrades.",8,,
rotom-catalog,field,form-change,Allows Rotom to change between its appliance forms.,8,,
rowap-berry,held,damage,Damages the attacker by 1/8 of its max HP when hit by a special move; 1/4 if the holder has Ripen.,4,,
rsvp-mail,held,message-delivery,Allows a custom Easy Chat message of up to three sentences to be carried by a Pokémon and shared via trade.,5,,Prevents PC storage and causes certain item-exchange moves to fail.
ruby,passive,story,"Used by Celio to complete the Pokémon Network Machine, after which the player receives the Rainbow Pass.",3,3,
rusted-shield,battle,evolution-trigger,Transforms Zamazenta into its Crowned Shield form and changes Iron Head into Behemoth Bash,8,,
rusted-sword,held,form-change,Transforms Zacian into its Crowned Sword form and changes Iron Head into Behemoth Blade in battle.,8,,
sablenite,held,evolution-trigger,Allows Sableye to Mega Evolve into Mega Sableye,6,,Requires a Key Stone
sachet,held,evolution-trigger,Evolves Spritzee into Aromatisse when traded,6,,Item is consumed on trade
sacred-ash,field,healing,Revives all fainted Pokémon and fully restores HP,2,,Usable only outside of battle
safari-ball,battle,catch-rate-modifier,x1,8,8,Changed back to x1.5 in Brilliant Diamond and Shining Pearl.
safari-ball,battle,catch-rate-modifier,x1.5,3,7,
safari-ball,battle,catch-rate-modifier,x1,9,,
safari-ball,battle,catch-rate-modifier,x2,1,1,
safety-goggles,held,immunity,"Blocks damage from hail and sandstorm and prevents effects of powder and spore moves, including Effect Spore.",6,,
sail-fossil,passive,evolution-trigger,Can be regenerated into Amaura at a fossil restoration location,6,,
salac-berry,held,stat-boost,Raises Speed by one stage when HP is at 1/4 or less,3,,"With Gluttony, activates at 1/2 HP; with Ripen, raises Speed by two stages."
salad-mix,field,crafting,Used as an ingredient when cooking curry.,8,,
salamencite,battle,evolution-trigger,Allows Salamence to Mega Evolve into Mega Salamence.,6,,Requires a Key Stone; only one Mega Evolution per battle.
salamencite,field,contest-effect,Allows Mega Evolution during Pokémon Contest Spectacular Talent Round.,6,6,
salt,passive,crafting,Used as an ingredient when making sandwiches.,9,,
salt-cake,field,lure,"Attracts Pokémon that resemble grass, plants, or minerals when thrown.",8,,
salty-herba-mystica,field,crafting,Used as an ingredient when making sandwiches.,9,,
sand-radish,passive,crafting,Two are required to craft a Twice-Spiced Radish.,8,,
sandwich,field,story,Revitalizes Koraidon or Miraidon during the player's first encounter at Poco Path.,9,,
